ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
2016-01-01 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 4.7, -1.2, -6.4, -4.6, 1, 1, 1, 1, 2016-01-02 18:40, 0, , , ,
2016-01-01 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 3.9, 1.4, -2.3, -2.1, 1, 1, 1, 1, 2016-01-01 08:54, 0, , , ,
2016-01-01 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 3.4, -.2, -5.2, -3.6, 1, 1, 1, 1, 2016-01-01 09:00, 0, , , ,
2016-01-01 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6.8, 2.8, , , 1, 1, , , 2016-01-01 20:54, 0, , , ,
2016-01-01 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 6.5, .1, , , 1, 1, , , 2016-01-01 20:59, 0, , , ,
2016-01-02 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 7.4, 2.4, -1.8, -1.1, 1, 1, 1, 1, 2016-01-02 18:43, 0, , , ,
2016-01-02 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 7.4, 6.2, 4, 3.2, 1, 1, 1, 1, 2016-01-02 08:54, 0, , , ,
2016-01-02 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 7.2, 6.1, 3.5, 3.1, 1, 1, 1, 1, 2016-01-02 09:01, 0, , , ,
2016-01-02 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 8.7, 7.2, , , 1, 1, , , 2016-01-02 20:54, 0, , , ,
2016-01-02 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 8.6, 6.7, , , 1, 1, , , 2016-01-02 20:56, 0, , , ,
2016-01-03 09:00, DCNN, 1012, 24, 0, DLY3208, 19193, 1012, 8.5, 6.4, .6, 2.5, 1, 151, 1, 1, 2016-01-05 21:57, 0, , , ,
2016-01-03 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1022, 8.5, 6, .6, 2.5, 1, 2301, 1, 1, 2016-01-06 10:30, 0, , , ,
2016-01-03 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 7.8, 5.7, 4.6, 4.4, 1, 1, 1, 1, 2016-01-03 08:55, 0, , , ,
2016-01-03 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 7.3, 5.5, 4.7, 4.7, 1, 1, 1, 1, 2016-01-03 08:56, 0, , , ,
2016-01-03 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 7.6, 4.6, , , 1, 1, , , 2016-01-03 20:53, 0, , , ,
2016-01-03 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 7.6, 4.8, , , 1, 1, , , 2016-01-03 20:54, 0, , , ,
2016-01-04 09:00, DCNN, 1012, 24, 0, DLY3208, 19193, 1012, 7.8, 5.2, 1.8, 3, 1, 151, 1, 1, 2016-01-05 22:01, 0, , , ,
2016-01-04 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1022, 7.8, 5, 1.8, 3, 1, 2301, 1, 1, 2016-01-06 10:30, 0, , , ,
2016-01-04 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 7.5, 4.8, 3.7, 3.7, 1, 1, 1, 1, 2016-01-04 08:54, 0, , , ,
2016-01-04 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 7.6, 5.1, 3.8, 3.7, 1, 1, 1, 1, 2016-01-04 08:56, 0, , , ,
2016-01-04 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 5.6, 3.8, , , 1, 1, , , 2016-01-04 20:55, 0, , , ,
2016-01-04 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 5.7, 4.4, , , 1, 1, , , 2016-01-04 20:57, 0, , , ,
2016-01-05 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 8.8, 2.8, 1.8, 2.5, 1, 1, 1, 1, 2016-01-05 22:06, 0, , , ,
2016-01-05 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 4.3, 3.2, 2.6, 2.5, 1, 1, 1, 1, 2016-01-05 08:53, 0, , , ,
2016-01-05 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 4.7, 3.8, 3.1, 3, 1, 1, 1, 1, 2016-01-05 08:57, 0, , , ,
2016-01-05 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 4.6, 3.8, , , 1, 1, , , 2016-01-05 20:54, 0, , , ,
2016-01-05 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 5.2, 4.4, , , 1, 1, , , 2016-01-05 20:57, 0, , , ,
2016-01-06 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 5.4, 2.7, .7, 1.8, 1, 1, 1, 1, 2016-01-06 22:31, 0, , , ,
2016-01-06 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 5.1, 3.9, 3.4, 3.3, 1, 1, 1, 1, 2016-01-06 08:54, 0, , , ,
2016-01-06 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 4.9, 4.4, 3.8, 3.5, 1, 1, 1, 1, 2016-01-06 08:55, 0, , , ,
2016-01-06 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6, 4.2, , , 1, 1, , , 2016-01-06 21:39, 202, , , ,
2016-01-06 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 5.4, 3.8, , , 1, 1, , , 2016-01-06 21:01, 0, , , ,
2016-01-07 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 6.7, 4.1, .6, 2, 1, 1, 1, 1, 2016-01-11 16:32, 0, , , ,
2016-01-07 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6.2, 3.8, 2.5, 2.1, 1, 1, 1, 1, 2016-01-07 08:54, 0, , , ,
2016-01-07 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 6.4, 3.9, 2.2, 2, 1, 1, 1, 1, 2016-01-07 08:56, 0, , , ,
2016-01-07 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6.7, 3.8, , , 1, 1, , , 2016-01-07 20:53, 0, , , ,
2016-01-07 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 6.9, 3.4, , , 1, 1, , , 2016-01-07 20:58, 0, , , ,
2016-01-08 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 5.8, -1.2, -5, -3, 1, 1, 1, 1, 2016-01-11 16:36, 0, , , ,
2016-01-08 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 4.1, .5, -1.5, -.3, 1, 1, 1, 1, 2016-01-08 08:54, 0, , , ,
2016-01-08 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 4.5, .8, -1, .4, 1, 1, 1, 1, 2016-01-08 09:05, 0, , , ,
2016-01-08 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 4.1, -2.4, , , 1, 1, , , 2016-01-08 20:54, 0, , , ,
2016-01-08 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 6.2, -.5, , , 1, 1, , , 2016-01-08 20:56, 0, , , ,
2016-01-09 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 1.8, -3.7, -8.7, -6.9, 1, 1, 1, 1, 2016-01-11 16:38, 0, , , ,
2016-01-09 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 2, -.5, -6, -3.2, 1, 1, 1, 1, 2016-01-09 08:53, 0, , , ,
2016-01-09 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 4.7, .9, -1.3, -.8, 1, 1, 1, 1, 2016-01-09 08:56, 0, , , ,
