ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
2019-01-01 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 12.4, 4.4, .4, 1.8, 1, 1, 1, 1, 2019-01-15 10:23, 0, , , ,
2019-01-01 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 9.5, 4.9, 3.2, 3.1, 1, 1, 1, 1, 2019-01-01 08:54, 0, , , ,
2019-01-01 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 8.5, 5.6, 3.9, 3.5, 1, 1, 1, 1, 2019-01-01 09:02, 0, , , ,
2019-01-01 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 5.8, 4.5, , , 1, 1, , , 2019-01-01 20:54, 0, , , ,
2019-01-01 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 5.9, 4.5, , , 1, 1, , , 2019-01-01 21:06, 0, , , ,
2019-01-02 09:00, DCNN, 1012, 24, 0, DLY3208, 19193, 1012, 5.1, -.6, -3.5, -2.7, 1, 151, 1, 1, 2019-01-15 10:24, 0, , , ,
2019-01-02 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1022, 5.1, -.8, -3.5, -2.7, 1, 2501, 1, 1, 2019-01-16 10:02, 0, , , ,
2019-01-02 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 4.7, 2.3, 1.7, 1.9, 1, 1, 1, 1, 2019-01-02 08:54, 0, , , ,
2019-01-02 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 4.7, 2.3, 1.5, 2.4, 1, 1, 1, 1, 2019-01-02 08:56, 0, , , ,
2019-01-02 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 3.3, -4.2, , , 1, 1, , , 2019-01-02 20:53, 0, , , ,
2019-01-02 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 3.5, -3.8, , , 1, 1, , , 2019-01-02 20:57, 0, , , ,
2019-01-03 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 1.5, -3.6, -7.3, -5.4, 1, 1, 1, 1, 2019-01-15 10:24, 0, , , ,
2019-01-03 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 2.1, -4.9, -10.2, -7.2, 1, 1, 1, 1, 2019-01-03 08:53, 0, , , ,
2019-01-03 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, .7, -4.7, -8.8, -4.9, 1, 1, 1, 1, 2019-01-03 09:00, 0, , , ,
2019-01-03 21:00, DCNN, 1057, 12, 0, NCM, 132, 1012, 6.4, 2, , , 1, 151, , , 2019-01-03 20:54, 0, , , ,
2019-01-03 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6.4, 1.9, , , 1, 1501, , , 2019-01-03 20:54, 0, , , ,
2019-01-03 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 5.6, .3, , , 1, 1, , , 2019-01-03 20:59, 0, , , ,
2019-01-04 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 7.7, 2.9, -.2, .4, 1, 151, 1, 1, 2019-01-15 10:26, 0, , , ,
2019-01-04 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6.3, 4.5, 2.6, 2.7, 1, 1, 1, 1, 2019-01-04 08:53, 0, , , ,
2019-01-04 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 6.7, 4.9, 3.8, 3.6, 1, 1, 1, 1, 2019-01-04 08:56, 0, , , ,
2019-01-04 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 8.3, 5.7, , , 1, 1, , , 2019-01-04 20:54, 0, , , ,
2019-01-04 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 8.3, 5.7, , , 1, 1, , , 2019-01-04 20:56, 0, , , ,
2019-01-05 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 7.9, 5.3, 3.9, 4.2, 1, 1, 1, 1, 2019-01-15 10:27, 0, , , ,
2019-01-05 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6.7, 5.2, 3.7, 4.1, 1, 1, 1, 1, 2019-01-05 08:53, 0, , , ,
2019-01-05 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 6.4, 5.5, 4.6, 4.7, 1, 1, 1, 1, 2019-01-05 09:07, 0, , , ,
2019-01-05 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 6.8, 4.2, , , 1, 1, , , 2019-01-05 20:54, 0, , , ,
2019-01-05 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 6.4, .5, , , 1, 1, , , 2019-01-05 20:59, 0, , , ,
2019-01-06 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 9.2, 3.4, -1.2, .4, 1, 1, 1, 1, 2019-01-15 10:28, 0, , , ,
2019-01-06 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 9, 5.4, 4, 3.8, 1, 1, 1, 1, 2019-01-06 08:54, 0, , , ,
2019-01-06 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 8.9, 4.5, -2.3, 0, 1, 1, 1, 1, 2019-01-06 09:01, 0, , , ,
2019-01-06 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 7.6, 5.4, , , 1, 1, , , 2019-01-06 20:54, 0, , , ,
2019-01-06 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 7.7, 5.6, , , 1, 1, , , 2019-01-06 20:58, 0, , , ,
2019-01-07 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 11.7, 3.5, -.6, 1.9, 1, 1, 1, 1, 2019-01-15 10:29, 0, , , ,
2019-01-07 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 12.4, 3.3, -.8, 1.1, 1, 1, 1, 1, 2019-01-07 08:54, 0, , , ,
2019-01-07 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 12.2, 5, .3, 3.1, 1, 1, 1, 1, 2019-01-07 08:56, 0, , , ,
2019-01-07 21:00, DCNN, 1057, 12, 0, NCM, 132, 1012, 10.3, 6.7, , , 151, 1, , , 2019-01-07 20:54, 0, , , ,
2019-01-07 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 10.4, 6.7, , , 1501, 1, , , 2019-01-07 20:54, 0, , , ,
2019-01-07 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 10.4, 6.6, , , 1, 1, , , 2019-01-07 20:58, 0, , , ,
2019-01-08 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 10.5, 4.4, -1, .7, 1, 1, 1, 1, 2019-01-15 10:31, 0, , , ,
