ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
2018-01-01 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 4.1, -1.5, -6.5, -4.5, 1, 1, 1, 1, 2018-01-19 13:26, 0, , , ,
2018-01-01 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 3.4, -3.1, -5.9, -5.1, 1, 1, 1, 1, 2018-01-01 08:53, 0, , , ,
2018-01-01 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 3.6, -2.1, -7, -3.5, 1, 1, 1, 1, 2018-01-01 09:00, 0, , , ,
2018-01-01 21:00, DCNN, 1057, 12, 0, NCM, 132, 1012, 3.6, -2.1, , , 1, 151, , , 2018-01-01 20:54, 0, , , ,
2018-01-01 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 3.6, -2.3, , , 1, 1501, , , 2018-01-01 20:54, 0, , , ,
2018-01-01 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 4.1, -2.6, , , 1, 1, , , 2018-01-01 20:59, 0, , , ,
2018-01-02 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 3.7, -2.8, -5.8, -4.3, 1, 1, 1, 1, 2018-01-19 13:28, 0, , , ,
2018-01-02 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 4.3, -1.4, -4.1, -3.5, 1, 1, 1, 1, 2018-01-02 08:54, 0, , , ,
2018-01-02 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 3.7, -1.3, -4.6, -2, 1, 1, 1, 1, 2018-01-02 09:07, 0, , , ,
2018-01-02 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 4.5, -1.4, , , 1, 1, , , 2018-01-02 20:55, 0, , , ,
2018-01-02 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 3.9, -1.1, , , 1, 1, , , 2018-01-02 20:57, 0, , , ,
2018-01-03 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, 4.3, -.7, -3.6, -2.8, 1, 1, 1, 1, 2018-01-19 13:29, 0, , , ,
2018-01-03 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 2.4, -1.2, -3.8, -3.4, 1, 1, 1, 1, 2018-01-04 08:17, , , , ,
