ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
2009-01-01 09:00, DCNN, 1009, 24, 0, DLY3208, 23944, 1012, .4, -5.5, -6.7, -8.6, 1, 151, 1, 151, 2009-03-31 14:24, 0, , , ,
2009-01-01 09:00, DCNN, 1009, 24, 1, DLY3208, 23944, 1022, .4, -6.5, -6.7, , 6, 2006, 6, , 2009-06-17 13:56, 0, , , ,
2009-01-01 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, .1, -7.1, -8.5, -8.8, 6, 6, 6, 6, 2009-01-01 20:08, 17, , , ,
2009-01-01 09:00, DCNN, 1050, 24, 1, DLY3208, 30269, 1011, 2.3, -5.2, -6.9, , 6, 6, 6, , 2009-01-01 12:08, 42, , , ,
2009-01-01 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, .4, -.8, -1.6, -1.9, 6, 6, 6, 6, 2009-01-01 09:02, 48, , , ,
2009-01-01 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 1.7, -.2, -2.1, -1.5, 6, 6, 6, 6, 2009-01-01 09:12, 38, , , ,
2009-01-01 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 1.9, -.5, , , 6, 6, , , 2009-01-01 20:57, 244, , , ,
2009-01-01 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 3, .4, , , 6, 6, , , 2009-01-01 20:57, 244, , , ,
2009-01-02 09:00, DCNN, 1009, 24, 1, DLY3208, 23944, 1011, 2.3, -3.4, -8, -5.4, 6, 6, 6, 6, 2009-03-31 14:24, 0, , , ,
2009-01-02 09:00, DCNN, 1012, 24, 0, DLY3208, 19193, 1012, .9, -7.2, -8.9, -5.5, 1, 1, 1, 1, 2009-01-04 18:08, 20, , , ,
2009-01-02 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1022, .9, -4, -8.9, -5.5, 6, 2006, 6, 6, 2009-06-18 09:12, 0, , , ,
2009-01-02 09:00, DCNN, 1050, 24, 1, DLY3208, 30269, 1011, 2.4, -2.8, -5.2, , 6, 6, 6, , 2009-01-02 11:08, 47, , , ,
2009-01-02 09:00, DCNN, 1057, 12, 1, NCM, 132, 1011, .6, -3.8, -8.5, -5.1, 6, 6, 6, 6, 2009-01-02 09:04, 46, , , ,
2009-01-02 09:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 3.6, -1.6, -5.8, -2, 6, 6, 6, 6, 2009-01-02 08:58, 52, , , ,
2009-01-02 21:00, DCNN, 1057, 12, 1, NCM, 132, 1011, 1.7, -5.3, , , 6, 6, , , 2009-01-02 20:56, 247, , , ,
2009-01-02 21:00, DCNN, 1079, 12, 1, NCM, 137, 1011, 2.8, -5.8, , , 6, 6, , , 2009-01-02 20:55, 248, , , ,
2009-01-03 09:00, DCNN, 1009, 24, 1, DLY3208, 23944, 1011, 2.3, -4.4, -7.4, -6.1, 6, 6, 6, 6, 2009-03-31 14:24, 0, , , ,
2009-01-03 09:00, DCNN, 1012, 24, 1, DLY3208, 19193, 1011, .9, -7.6, -11.3, -8.1, 6, 6, 6, 6, 2009-01-04 18:08, 3, , , ,
