lgbm_pred,meter_reading,time,site_id,meter_loglp,dif_lgbm,NN_pred,dif_NN
0.2519042138353694,0.2130126953125,2015-03-20 14:25:00,1,0.19310709595207434,-0.05879711788329503,0.19341625,0.019596442580223083
0.2519042138353694,0.3388671875,2015-03-20 14:30:00,1,0.2918238739628613,0.03991966012749193,0.19341625,0.14545093476772308
0.2519042138353694,1.65234375,2015-03-20 14:35:00,1,0.9754436830791336,0.7235394692437642,0.19341625,1.458927497267723
0.2519042138353694,0.1982421875,2015-03-20 14:40:00,1,0.18085563911145836,-0.07104857472391102,0.19341625,0.0048259347677230835
0.2519042138353694,0.1552734375,2015-03-20 14:45:00,1,0.14433705837893368,-0.10756715545643569,0.19341625,-0.038142815232276917
0.2519042138353694,0.154541015625,2015-03-20 14:50:00,1,0.14370287592453207,-0.1082013379108373,0.19341625,-0.038875237107276917
0.2519042138353694,1.2412109375,2015-03-20 14:55:00,1,0.8070163168951925,0.5551121030598232,0.19341625,1.047794684767723
0.253937011236682,0.0,2015-03-20 15:00:00,1,0.0,-0.253937011236682,0.19476143,-0.19476142525672913
0.253937011236682,1.392578125,2015-03-20 15:05:00,1,0.8723714979393196,0.6184344867026376,0.19476143,1.1978166997432709
0.253937011236682,0.0,2015-03-20 15:10:00,1,0.0,-0.253937011236682,0.19476143,-0.19476142525672913
0.253937011236682,0.0,2015-03-20 15:15:00,1,0.0,-0.253937011236682,0.19476143,-0.19476142525672913
0.253937011236682,0.1474609375,2015-03-20 15:20:00,1,0.13755162097880624,-0.11638539025787575,0.19476143,-0.047300487756729126
0.253937011236682,0.11016845703125,2015-03-20 15:25:00,1,0.10451176690060607,-0.14942524433607593,0.19476143,-0.08459296822547913
0.253937011236682,0.0,2015-03-20 15:30:00,1,0.0,-0.253937011236682,0.19476143,-0.19476142525672913
0.253937011236682,1.376953125,2015-03-20 15:35:00,1,0.8658194679480193,0.6118824567113373,0.19476143,1.1821916997432709
0.253937011236682,0.11175537109375,2015-03-20 15:40:00,1,0.10594018160342984,-0.14799682963325217,0.19476143,-0.08300605416297913
0.253937011236682,0.0,2015-03-20 15:45:00,1,0.0,-0.253937011236682,0.19476143,-0.19476142525672913
0.253937011236682,0.2193603515625,2015-03-20 15:50:00,1,0.1983264192528607,-0.05561059198382129,0.19476143,0.024598926305770874
0.253937011236682,0.08282470703125,2015-03-20 15:55:00,1,0.0795730962214143,-0.1743639150152677,0.19476143,-0.11193671822547913
0.2548148432500338,0.0,2015-03-20 16:00:00,1,0.0,-0.2548148432500338,0.19407773,-0.194077730178833
0.2548148432500338,1.37109375,2015-03-20 16:05:00,1,0.8633513465799358,0.6085365033299021,0.19407773,1.177016019821167
0.2548148432500338,0.1016845703125,2015-03-20 16:10:00,1,0.09684043592179264,-0.15797440732824114,0.19407773,-0.09239315986633301
0.2548148432500338,0.0,2015-03-20 16:15:00,1,0.0,-0.2548148432500338,0.19407773,-0.194077730178833
0.2548148432500338,0.0,2015-03-20 16:20:00,1,0.0,-0.2548148432500338,0.19407773,-0.194077730178833
0.2548148432500338,0.0,2015-03-20 16:25:00,1,0.0,-0.2548148432500338,0.19407773,-0.194077730178833
0.2548148432500338,2.3203125,2015-03-20 16:30:00,1,1.2000589050047996,0.9452440617547658,0.19407773,2.126234769821167
0.2548148432500338,3.572265625,2015-03-20 16:35:00,1,1.5200088424514029,1.2651939992013692,0.19407773,3.378187894821167
0.2548148432500338,0.21142578125,2015-03-20 16:40:00,1,0.1917979975324026,-0.06301684571763119,0.19407773,0.017348051071166992
0.2548148432500338,0.2247314453125,2015-03-20 16:45:00,1,0.20272159164632375,-0.052093251603710033,0.19407773,0.030653715133666992
0.2548148432500338,0.3623046875,2015-03-20 16:50:00,1,0.3091778886560129,0.05436304540597914,0.19407773,0.168226957321167
0.2548148432500338,0.18359375,2015-03-20 16:55:00,1,0.16855536102980667,-0.08625948222022711,0.19407773,-0.010483980178833008
0.2493559705768201,0.1693115234375,2015-03-20 17:00:00,1,0.1564151341036027,-0.09294083647321741,0.1946,-0.025288477540016174
0.2493559705768201,1.4326171875,2015-03-20 17:05:00,1,0.8889677096627273,0.6396117390859072,0.1946,1.2380171865224838
0.2493559705768201,0.08074951171875,2015-03-20 17:10:00,1,0.0776547927669825,-0.1717011778098376,0.1946,-0.11385048925876617
0.2493559705768201,0.08349609375,2015-03-20 17:15:00,1,0.08019293677319551,-0.16916303380362457,0.1946,-0.11110390722751617
0.2493559705768201,0.09197998046875,2015-03-20 17:20:00,1,0.08799254425058847,-0.16136342632623163,0.1946,-0.10262002050876617
0.2493559705768201,0.214111328125,2015-03-20 17:25:00,1,0.19401239199539483,-0.05534357858142527,0.1946,0.019511327147483826
0.2493559705768201,0.165771484375,2015-03-20 17:30:00,1,0.1533830861954869,-0.0959728843813332,0.1946,-0.028828516602516174
0.2493559705768201,1.4365234375,2015-03-20 17:35:00,1,0.890572202586166,0.6412162320093459,0.1946,1.2419234365224838
0.2493559705768201,0.094970703125,2015-03-20 17:40:00,1,0.09072760777355278,-0.1586283628032673,0.1946,-0.09962929785251617
0.2493559705768201,0.1256103515625,2015-03-20 17:45:00,1,0.11832542325985222,-0.1310305473169679,0.1946,-0.06898964941501617
0.2493559705768201,0.2130126953125,2015-03-20 17:50:00,1,0.19310709595207434,-0.05624887462474576,0.1946,0.018412694334983826
0.2493559705768201,0.10302734375,2015-03-20 17:55:00,1,0.09805853030860487,-0.15129744026821523,0.1946,-0.09157265722751617
